title,company,salary,summary
"VP, Enterprise Development",MasterCard,NA,"Recognizing the co-ordination challenge posed by the time-zone differences between Europe, the US and AP, MEP and the region aims to appoint a senior,..."
Data Analyst / Data Manager (APAC),Aspire SG,NA,"An almost professional presenter, with the ability to create content for both data and non data professionals. As the Data Champion you should have;..."
Accounts Assistant (Internship),Eurekahedge Pte Ltd,NA,Data entry and ad-hoc duties as assigned. Responsibilities and Duties*....
Data Centre Engineer,Capita Pte Ltd,"$2,800 - $3,400 a month",Data center power. Responsible for day-to-day operation of End User's data center infrastructure. More than 2 years of overseas large-scale data center on-site...
Admin Executive,LOB Education Centre Pte Ltd,NA,"Handle paperwork, data entry, filing & billing. Brief job description:...."
Marketing Reporting Analytics Manager,Oracle,NA,"Strong interest and relevant experience in data analysis and visualisation. Be engaged as a consulting partner for all data driven projects, decision support,..."
Senior Software Developer,Cresco Data Pte Ltd,"$4,000 - $5,000 a month","We are looking for a Senior Software Developer to help us enhance and support the Cresco Data platform. As part of the tech team, you will work on a range of..."
Project Officer,Lucky Joint Construction Pte Ltd.,NA,Data entry of claims entry details into the system. Churn out reports on installation of Telecommunication....
Technical Specialist,KES Systems & Service (1993) Pte Ltd,NA,Records and monitors troubleshooting data. Responsible in boards troubleshooting and rework activities to support production test i order to improve efficiency...
HRIS & Reporting,ams,NA,"Lead the development and implementation of Master Data (MD) and reporting strategies, as well as governance policies & procedures including communication for..."
Junior SAS Programmer,NMG Consulting,NA,"Data entry/data audit. Data capture template development. Involvement in data entry/data audit process. Solid data auditing, analytical and problem solving..."
Marine Service Engineers & Junior or Trainees Marine Service...,Hostmost,NA,Hostmost Engineering (S) Pte. Ltd. is actively looking for individuals to join the existing team in the quest forward for and exciting future. HIGH LEVEL...
Store Assistant (Part-Time),Kester Components Pte Ltd,NA,Perform data entry into system. Pick and pack into proper packaging for overseas shipment....
Mobile Analytics & Project Management Executive,Sephora,NA,Lead Data Engineer. The data is definitive:. This job is not available any more....
Credit Analyst (Retail),Randstad Direct Singapore,NA,"You will analyse their financial data, examine credit history to mitigate credit risks, support credit limit request and payment terms changes, create and..."
Associate Agents,Savills,NA,Personal data collected will be used for recruitment purposes only. Savills is a leading global real estate service provider listed on the London Stock Exchange...
Junior Equity Derivatives Trader - Singapore,Macquarie Group Limited,NA,Warrant market data; Macquarie’s Equity Derivatives and Trading Division (EDT) is seeking strong candidates for the role of Derivative Trader on its Singapore...
"ADMIN COORDINATOR (ONLINE PURCHASING) (5 DAYS – NEAR MRT, CL...",BIOSKIN HOLDINGS PTE LTD,NA,Data entry and monitor stocks. Liaising with locals / overseas supplier and vendor....
Data Scientist/ Engineer,Carro,NA,Data management and engineering to collect and process data to be used in modelling; Able to synthesize data into actionable business insights;...
Technical Analyst - Financial System,Marina Bay Sands,NA,"Tableau, Spotfire, Cognos) and data frameworks (e.g. Hadoop) or other data Analytics tools is preferred. Undertaking data collection, preprocessing and analysis..."
Research Fellow,Duke NUS graduate medical school Singapore,NA,"The selected candidate will assist in cancer research experiments, data analysis and manuscript preparation. The primary goal of Dr...."
Research Assistant/Associate,Duke NUS graduate medical school Singapore,NA,"Applicants will need proven skills in conducting and writing up quantitative data analysis. Conduct quantitative data analysis (example, multivariate analysis,..."
Trader / Junior Trader for Agricultural commodities,Valency International Trading,NA,Work closely with colleagues and external counter-parties to handle export/import data. Help to maintain and analyze a regional physical Sugar Trading book....
Data Entry and Entry Level Workers Required,NA,NA,"Previous Data Entry/Administrative experience. We are looking for an energetic, hardworking person willing to work in a team but can also work alone when..."
Admin Assistant cum Receptionist,CP Pte Ltd,NA,Perform data entry and scan documents. Resume formatting (to put raw resume data into company template). Provide general administrative and clerical support...
Solution Specialist - Data Integration,Oracle,NA,Solution Specialist - Data Integration-17001DUS. Applicants will be experienced individuals with a minimum 8 years of professional experience with proven sales...
Warehouse Assistant,MSD,NA,"Input transaction data into the business computer systems and file the documents accordingly. Perform day-to-day warehouse related tasks such as receiving,..."
Business Strategy Consultant,NA,NA,A high degree of comfort with strategic decision-making and strong quantitative skills to develop financial or operational models and supervise data analysis....
Global Brand Ambassador,Titans Marketing Group,NA,"Establish and implement tracking procedures for each client via KPI and companies data analytical systems. “When there’s a will, there’s always a way.”...."
Regional BI Finance Analyst (LEL),Lazada,NA,"Comfortable in dealing with big data for analysis and data modelling purposes. Extract, transform and load (ETL) data from multiple source from Data Warehouse..."
Back End Engineer,Bambu,NA,Data models and stored procedures.  Implementating of security and data protection.  Responsible for designing and implementing data storage and ensuring...
"Marketing Associate, Global South Asia and Middle East (Asso...",Bank of Singapore,NA,"Maintains client data and reports, e.g. contact lists, account numbers, facilities details, status of credit reviews/renewals, etc. Permanent, Full time...."
Project Planner,OneLink HR consultancy Pte Ltd,"$3,000 - $4,200 a month",Please be informed that the personal data you provided by way of your job application to *OneLink HR Consultancy Pte Ltd*. Work Location- Ang mo Kio....
Data Scientist,NA,NA,Data scientist with hands on expertise in building and executing analytics modules on various technology platforms including big data technology platforms....
Lead Research Officer,Singapore Institute of Technology,NA,"Collation, organization and management of institutional data relating to learning outcomes. The successful applicant will lead a team of research assistants in..."
Production Assistant,CEI Contract Manufacturing Limited,NA,Basic computer knowledge to perform data entry. Packing of finished products into carton boxes or polypropylene boxes and strapping....
Process Engineer,Jacobs,NA,"Activities shall include Process simulation, preparation of Process deliverables like Design Basis, Process Flow Diagrams, Material Selection Diagrams, Heat &..."
Field Application Specialist,Vela Diagnostics,NA,Bioinformatics experience with analyzing NGS data is a plus. Utilize data collected from customers to improve the quality and cost of products through a...
Assistant Technician/Technician,Temasek Life Sciences Laboratory Limited,NA,Collection of operation data from fish system and optimisation of water flow dynamics. No....
Service Engineer,Siemens AG,NA,"Contributes to or conducts the maintenance and improvement of internal tools, equipment, processes, and data repositories. What are my job responsibilities?..."
"Data Center Segment - Business Development Director, APAC",EATON,NA,Experience in Data Center industry. Strong data mining and analysis skills. Establish Eaton as a leader in the data center industry community....
Senior Infra Project Manager (Data Centre Migration),NA,NA,"Data Center Migrations & Consolidations which includes scope planning, financials/budget, timelines, managing Network Infrastructure procurement, delivery, rack..."
Executive (Industry Development Division 2) (1 Year Temporar...,SkillsFuture Singapore,NA,Able to handle and manage data and information. Monthly collation of data from at least 20 providers for reporting purposes....
Financial Analyst,FIS,NA,"Track VSOE data for recurring and services fees. Support the sales, presales and PS teams from a data management and analysis perspective (SFDC, sales reporting..."
Application Support Engineer,Nano Equipment Pte Ltd,NA,We provide custom software development services. The Application Support Engineer will provide application support for server applications and mobile apps...
"Director of Strategic Insights, Analytics, Demand Planning",Electronic Arts,NA,"Recommend improvements to existing data structure and forecast methodologies. Working knowledge of SQL with experience writing queries for large, complex data..."
Part Time Information Technology Administrator,Castlery,NA,"As an e-commerce tech startup, we move decisively on insightful data and leverage on technological solutions to supercharge our operations...."
"ADMIN ASSISTANT (East, Club environment), above $2K",RI Talent Solutions Pte Ltd,NA,"Prepares reports or provides necessary data for Manager's preparation of reports. Deliver secretarial and admin support to Manager, which includes:...."
Repair Development Engineer,NA,NA,Experience on Strain gage optimization and data reduction. Understand the legacy data and replicate the analytical approach followed....
ETL Developer / Database Developer,Emporio Analytics,NA,"Audit and QA data and processes to ensure data quality and integrity throughout the data ecosystem. Support in the Design, architecture, implementation and..."
Learning and Development Advisor,NA,NA,"In addition, you have strong expertise in MS Office and an understanding of data analytics. O Support the execution of learning evaluation strategy and..."
Technical Customer Support Engineer,Solace Corporation,NA,"Solace technology enables open data movement by routing information between applications, devices, and people across clouds using open APIs and protocols...."
System Engineer,Accenture,NA,"Perform site visit and able to identify the pain points such as inaccurate data, overcooling and poor scheduling...."
"VP, Enterprise Development",MasterCard,NA,"Recognizing the co-ordination challenge posed by the time-zone differences between Europe, the US and AP, MEP and the region aims to appoint a senior,..."
Data Analyst / Data Manager (APAC),Aspire SG,NA,"An almost professional presenter, with the ability to create content for both data and non data professionals. As the Data Champion you should have;..."
Accounts Assistant (Internship),Eurekahedge Pte Ltd,NA,Data entry and ad-hoc duties as assigned. Responsibilities and Duties*....
Data Centre Engineer,Capita Pte Ltd,"$2,800 - $3,400 a month",Data center power. Responsible for day-to-day operation of End User's data center infrastructure. More than 2 years of overseas large-scale data center on-site...
Admin Executive,LOB Education Centre Pte Ltd,NA,"Handle paperwork, data entry, filing & billing. Brief job description:...."
Marketing Reporting Analytics Manager,Oracle,NA,"Strong interest and relevant experience in data analysis and visualisation. Be engaged as a consulting partner for all data driven projects, decision support,..."
Senior Software Developer,Cresco Data Pte Ltd,"$4,000 - $5,000 a month","We are looking for a Senior Software Developer to help us enhance and support the Cresco Data platform. As part of the tech team, you will work on a range of..."
Project Officer,Lucky Joint Construction Pte Ltd.,NA,Data entry of claims entry details into the system. Churn out reports on installation of Telecommunication....
Technical Specialist,KES Systems & Service (1993) Pte Ltd,NA,Records and monitors troubleshooting data. Responsible in boards troubleshooting and rework activities to support production test i order to improve efficiency...
HRIS & Reporting,ams,NA,"Lead the development and implementation of Master Data (MD) and reporting strategies, as well as governance policies & procedures including communication for..."
Junior SAS Programmer,NMG Consulting,NA,"Data entry/data audit. Data capture template development. Involvement in data entry/data audit process. Solid data auditing, analytical and problem solving..."
Marine Service Engineers & Junior or Trainees Marine Service...,Hostmost,NA,Hostmost Engineering (S) Pte. Ltd. is actively looking for individuals to join the existing team in the quest forward for and exciting future. HIGH LEVEL...
Store Assistant (Part-Time),Kester Components Pte Ltd,NA,Perform data entry into system. Pick and pack into proper packaging for overseas shipment....
Mobile Analytics & Project Management Executive,Sephora,NA,Lead Data Engineer. The data is definitive:. This job is not available any more....
Credit Analyst (Retail),Randstad Direct Singapore,NA,"You will analyse their financial data, examine credit history to mitigate credit risks, support credit limit request and payment terms changes, create and..."
Associate Agents,Savills,NA,Personal data collected will be used for recruitment purposes only. Savills is a leading global real estate service provider listed on the London Stock Exchange...
Junior Equity Derivatives Trader - Singapore,Macquarie Group Limited,NA,Warrant market data; Macquarie’s Equity Derivatives and Trading Division (EDT) is seeking strong candidates for the role of Derivative Trader on its Singapore...
"ADMIN COORDINATOR (ONLINE PURCHASING) (5 DAYS – NEAR MRT, CL...",BIOSKIN HOLDINGS PTE LTD,NA,Data entry and monitor stocks. Liaising with locals / overseas supplier and vendor....
Data Scientist/ Engineer,Carro,NA,Data management and engineering to collect and process data to be used in modelling; Able to synthesize data into actionable business insights;...
Technical Analyst - Financial System,Marina Bay Sands,NA,"Tableau, Spotfire, Cognos) and data frameworks (e.g. Hadoop) or other data Analytics tools is preferred. Undertaking data collection, preprocessing and analysis..."
Research Fellow,Duke NUS graduate medical school Singapore,NA,"The selected candidate will assist in cancer research experiments, data analysis and manuscript preparation. The primary goal of Dr...."
Research Assistant/Associate,Duke NUS graduate medical school Singapore,NA,"Applicants will need proven skills in conducting and writing up quantitative data analysis. Conduct quantitative data analysis (example, multivariate analysis,..."
Trader / Junior Trader for Agricultural commodities,Valency International Trading,NA,Work closely with colleagues and external counter-parties to handle export/import data. Help to maintain and analyze a regional physical Sugar Trading book....
Data Entry and Entry Level Workers Required,NA,NA,"Previous Data Entry/Administrative experience. We are looking for an energetic, hardworking person willing to work in a team but can also work alone when..."
Admin Assistant cum Receptionist,CP Pte Ltd,NA,Perform data entry and scan documents. Resume formatting (to put raw resume data into company template). Provide general administrative and clerical support...
Solution Specialist - Data Integration,Oracle,NA,Solution Specialist - Data Integration-17001DUS. Applicants will be experienced individuals with a minimum 8 years of professional experience with proven sales...
Warehouse Assistant,MSD,NA,"Input transaction data into the business computer systems and file the documents accordingly. Perform day-to-day warehouse related tasks such as receiving,..."
Business Strategy Consultant,NA,NA,A high degree of comfort with strategic decision-making and strong quantitative skills to develop financial or operational models and supervise data analysis....
Global Brand Ambassador,Titans Marketing Group,NA,"Establish and implement tracking procedures for each client via KPI and companies data analytical systems. “When there’s a will, there’s always a way.”...."
Regional BI Finance Analyst (LEL),Lazada,NA,"Comfortable in dealing with big data for analysis and data modelling purposes. Extract, transform and load (ETL) data from multiple source from Data Warehouse..."
Back End Engineer,Bambu,NA,Data models and stored procedures.  Implementating of security and data protection.  Responsible for designing and implementing data storage and ensuring...
"Marketing Associate, Global South Asia and Middle East (Asso...",Bank of Singapore,NA,"Maintains client data and reports, e.g. contact lists, account numbers, facilities details, status of credit reviews/renewals, etc. Permanent, Full time...."
Project Planner,OneLink HR consultancy Pte Ltd,"$3,000 - $4,200 a month",Please be informed that the personal data you provided by way of your job application to *OneLink HR Consultancy Pte Ltd*. Work Location- Ang mo Kio....
Data Scientist,NA,NA,Data scientist with hands on expertise in building and executing analytics modules on various technology platforms including big data technology platforms....
Lead Research Officer,Singapore Institute of Technology,NA,"Collation, organization and management of institutional data relating to learning outcomes. The successful applicant will lead a team of research assistants in..."
Production Assistant,CEI Contract Manufacturing Limited,NA,Basic computer knowledge to perform data entry. Packing of finished products into carton boxes or polypropylene boxes and strapping....
Process Engineer,Jacobs,NA,"Activities shall include Process simulation, preparation of Process deliverables like Design Basis, Process Flow Diagrams, Material Selection Diagrams, Heat &..."
Field Application Specialist,Vela Diagnostics,NA,Bioinformatics experience with analyzing NGS data is a plus. Utilize data collected from customers to improve the quality and cost of products through a...
Assistant Technician/Technician,Temasek Life Sciences Laboratory Limited,NA,Collection of operation data from fish system and optimisation of water flow dynamics. No....
Service Engineer,Siemens AG,NA,"Contributes to or conducts the maintenance and improvement of internal tools, equipment, processes, and data repositories. What are my job responsibilities?..."
"Data Center Segment - Business Development Director, APAC",EATON,NA,Experience in Data Center industry. Strong data mining and analysis skills. Establish Eaton as a leader in the data center industry community....
Senior Infra Project Manager (Data Centre Migration),NA,NA,"Data Center Migrations & Consolidations which includes scope planning, financials/budget, timelines, managing Network Infrastructure procurement, delivery, rack..."
Executive (Industry Development Division 2) (1 Year Temporar...,SkillsFuture Singapore,NA,Able to handle and manage data and information. Monthly collation of data from at least 20 providers for reporting purposes....
Financial Analyst,FIS,NA,"Track VSOE data for recurring and services fees. Support the sales, presales and PS teams from a data management and analysis perspective (SFDC, sales reporting..."
Application Support Engineer,Nano Equipment Pte Ltd,NA,We provide custom software development services. The Application Support Engineer will provide application support for server applications and mobile apps...
"Director of Strategic Insights, Analytics, Demand Planning",Electronic Arts,NA,"Recommend improvements to existing data structure and forecast methodologies. Working knowledge of SQL with experience writing queries for large, complex data..."
Part Time Information Technology Administrator,Castlery,NA,"As an e-commerce tech startup, we move decisively on insightful data and leverage on technological solutions to supercharge our operations...."
"ADMIN ASSISTANT (East, Club environment), above $2K",RI Talent Solutions Pte Ltd,NA,"Prepares reports or provides necessary data for Manager's preparation of reports. Deliver secretarial and admin support to Manager, which includes:...."
Repair Development Engineer,NA,NA,Experience on Strain gage optimization and data reduction. Understand the legacy data and replicate the analytical approach followed....
ETL Developer / Database Developer,Emporio Analytics,NA,"Audit and QA data and processes to ensure data quality and integrity throughout the data ecosystem. Support in the Design, architecture, implementation and..."
Learning and Development Advisor,NA,NA,"In addition, you have strong expertise in MS Office and an understanding of data analytics. O Support the execution of learning evaluation strategy and..."
Technical Customer Support Engineer,Solace Corporation,NA,"Solace technology enables open data movement by routing information between applications, devices, and people across clouds using open APIs and protocols...."
System Engineer,Accenture,NA,"Perform site visit and able to identify the pain points such as inaccurate data, overcooling and poor scheduling...."
"VP, Enterprise Development",MasterCard,NA,NA
Consumer Networks - Senior Engineering Officer,Singtel,NA,NA
Management Assistant Officer,National University of Singapore,NA,NA
Food and Drink Trend Analyst,Mintel Group,NA,NA
Project Planner,OneLink HR consultancy Pte Ltd,"$3,000 - $4,200 a month",NA
Marketing Science Automation Specialist (Contract),POSSIBLE,NA,NA
Production Assistant,CEI Contract Manufacturing Limited,NA,NA
HSE & Quality Assurance Specialist,ABB,NA,NA
Field Application Specialist,Vela Diagnostics,NA,NA
Data Scientist,NA,NA,NA
Process Engineer,Wieland Metals Singapore,"$3,500 - $5,000 a month",NA
Strategy Insights & Planning Associate Consultant,ZS Associates,NA,NA
Executive (Industry Development Division 2) (1 Year Temporar...,SkillsFuture Singapore,NA,NA
Technical Analyst,NTT DATA Business Solutions Singapore,NA,NA
"Research Associate, CFAR",Singapore University of Social Sciences,NA,NA
"ADMIN ASSISTANT (East, Club environment), above $2K",RI Talent Solutions Pte Ltd,NA,NA
ETL Developer / Database Developer,Emporio Analytics,NA,NA
Senior Data Engineer,New Step Search Pte Ltd,"$7,000 - $10,000 a month",NA
Wildlife Management Officer (Project Based),AECOM,NA,NA
DATA PRIVACY COMPLIANCE OFFICER - INSURANCE - SINGAPORE,PeopleSearch,NA,NA
Lab Analyst (Microbiology),NA,NA,NA
Aesthetic Clinic Front Desk Receptionist,EPION PTE LTD,"$2,000 - $2,200 a month",NA
Data Operations Executive,NA,NA,NA
Receptionist cum Administrative Assistant,DCA ARCHITECTS PTE LTD,NA,NA
Treasury Analyst,Cummins Inc.,NA,NA
Support Engineer,Netrust,NA,NA
"Analyst, ALM Risk Control – Market Risk Management",OCBC Bank: SG,NA,NA
Senior Business Analyst,Cargill,NA,NA
New Grad - Software Engineer Innovation Lab,Visa,NA,NA
Master Data Analyst (Junior) / Salary $2800 / Bonus / MNC,Kelly Services-Singapore,NA,NA
Project Officer,Lucky Joint Construction Pte Ltd.,NA,NA
Data Engineer-Deja,Mozat,NA,NA
Big Data Engineer,Razer USA Ltd.,NA,NA
Quality Analyst- Customer Support,Rotimatic,NA,NA
Technical Analyst,Dow Jones,NA,NA
Repair Development Engineer,NA,NA,NA
"Software Test Analyst , Test Automation and Service Virtuali...",StarHub,NA,NA
Secretary / Personal Assistant to Finance DIrector,Genesissearch Pte Ltd,NA,NA
Professional Service Engineer (Storage Data Protection),Softsource Solutions Pte Ltd,NA,NA
"Senior Analyst, Cross Border (Business Intelligence)",Lazada,NA,NA
Application Programmer and Analyst,NA,NA,NA
Product Qualifications Engineer,Seagate,NA,NA
Data Analyst,FIGS INC PTE LTD,NA,NA
Operations / Research Assistant (Fieldwork),aAdvantage Consulting,NA,NA
Research Fellow,Duke NUS graduate medical school Singapore,NA,NA
Production assistant engineer,Murata Electronics Singapore Pte Ltd,NA,NA
Research Assistant/Associate,Duke NUS graduate medical school Singapore,NA,NA
Day Activity Centre (DAC) Associate Coach (Hougang),Eden School,NA,NA
Data Analytics Consultants,NA,NA,NA
"Data Modelling, No SQL",NA,NA,NA
Data Scientist,Accenture,NA,NA
Technical Customer Support Engineer,Solace Corporation,NA,NA
"VP, Enterprise Development",MasterCard,NA,"Recognizing the co-ordination challenge posed by the time-zone differences between Europe, the US and AP, MEP and the region aims to appoint a senior,..."
Accounts Assistant (Internship),Eurekahedge Pte Ltd,NA,Data entry and ad-hoc duties as assigned. Responsibilities and Duties*....
Data Centre Engineer,Capita Pte Ltd,"$2,800 - $3,400 a month",Data center power. Responsible for day-to-day operation of End User's data center infrastructure. More than 2 years of overseas large-scale data center on-site...
Admin Executive,LOB Education Centre Pte Ltd,NA,"Handle paperwork, data entry, filing & billing. Brief job description:...."
Marketing Reporting Analytics Manager,Oracle,NA,"Strong interest and relevant experience in data analysis and visualisation. Be engaged as a consulting partner for all data driven projects, decision support,..."
Senior Software Developer,Cresco Data Pte Ltd,"$4,000 - $5,000 a month","We are looking for a Senior Software Developer to help us enhance and support the Cresco Data platform. As part of the tech team, you will work on a range of..."
Project Officer,Lucky Joint Construction Pte Ltd.,NA,Data entry of claims entry details into the system. Churn out reports on installation of Telecommunication....
Technical Specialist,KES Systems & Service (1993) Pte Ltd,NA,Records and monitors troubleshooting data. Responsible in boards troubleshooting and rework activities to support production test i order to improve efficiency...
HRIS & Reporting,ams,NA,"Lead the development and implementation of Master Data (MD) and reporting strategies, as well as governance policies & procedures including communication for..."
Junior SAS Programmer,NMG Consulting,NA,"Data entry/data audit. Data capture template development. Involvement in data entry/data audit process. Solid data auditing, analytical and problem solving..."
Marine Service Engineers & Junior or Trainees Marine Service...,Hostmost,NA,Hostmost Engineering (S) Pte. Ltd. is actively looking for individuals to join the existing team in the quest forward for and exciting future. HIGH LEVEL...
Store Assistant (Part-Time),Kester Components Pte Ltd,NA,Perform data entry into system. Pick and pack into proper packaging for overseas shipment....
Mobile Analytics & Project Management Executive,Sephora,NA,Lead Data Engineer. The data is definitive:. This job is not available any more....
Credit Analyst (Retail),Randstad Direct Singapore,NA,"You will analyse their financial data, examine credit history to mitigate credit risks, support credit limit request and payment terms changes, create and..."
Associate Agents,Savills,NA,Personal data collected will be used for recruitment purposes only. Savills is a leading global real estate service provider listed on the London Stock Exchange...
Junior Equity Derivatives Trader - Singapore,Macquarie Group Limited,NA,Warrant market data; Macquarie’s Equity Derivatives and Trading Division (EDT) is seeking strong candidates for the role of Derivative Trader on its Singapore...
"ADMIN COORDINATOR (ONLINE PURCHASING) (5 DAYS – NEAR MRT, CL...",BIOSKIN HOLDINGS PTE LTD,NA,Data entry and monitor stocks. Liaising with locals / overseas supplier and vendor....
Data Scientist/ Engineer,Carro,NA,Data management and engineering to collect and process data to be used in modelling; Able to synthesize data into actionable business insights;...
Technical Analyst - Financial System,Marina Bay Sands,NA,"Tableau, Spotfire, Cognos) and data frameworks (e.g. Hadoop) or other data Analytics tools is preferred. Undertaking data collection, preprocessing and analysis..."
Research Fellow,Duke NUS graduate medical school Singapore,NA,"The selected candidate will assist in cancer research experiments, data analysis and manuscript preparation. The primary goal of Dr...."
Research Assistant/Associate,Duke NUS graduate medical school Singapore,NA,"Applicants will need proven skills in conducting and writing up quantitative data analysis. Conduct quantitative data analysis (example, multivariate analysis,..."
Trader / Junior Trader for Agricultural commodities,Valency International Trading,NA,Work closely with colleagues and external counter-parties to handle export/import data. Help to maintain and analyze a regional physical Sugar Trading book....
Data Entry and Entry Level Workers Required,NA,NA,"Previous Data Entry/Administrative experience. We are looking for an energetic, hardworking person willing to work in a team but can also work alone when..."
Admin Assistant cum Receptionist,CP Pte Ltd,NA,Perform data entry and scan documents. Resume formatting (to put raw resume data into company template). Provide general administrative and clerical support...
Solution Specialist - Data Integration,Oracle,NA,Solution Specialist - Data Integration-17001DUS. Applicants will be experienced individuals with a minimum 8 years of professional experience with proven sales...
Warehouse Assistant,MSD,NA,"Input transaction data into the business computer systems and file the documents accordingly. Perform day-to-day warehouse related tasks such as receiving,..."
Business Strategy Consultant,NA,NA,A high degree of comfort with strategic decision-making and strong quantitative skills to develop financial or operational models and supervise data analysis....
Global Brand Ambassador,Titans Marketing Group,NA,"Establish and implement tracking procedures for each client via KPI and companies data analytical systems. “When there’s a will, there’s always a way.”...."
Regional BI Finance Analyst (LEL),Lazada,NA,"Comfortable in dealing with big data for analysis and data modelling purposes. Extract, transform and load (ETL) data from multiple source from Data Warehouse..."
Back End Engineer,Bambu,NA,Data models and stored procedures.  Implementating of security and data protection.  Responsible for designing and implementing data storage and ensuring...
"Marketing Associate, Global South Asia and Middle East (Asso...",Bank of Singapore,NA,"Maintains client data and reports, e.g. contact lists, account numbers, facilities details, status of credit reviews/renewals, etc. Permanent, Full time...."
Project Planner,OneLink HR consultancy Pte Ltd,"$3,000 - $4,200 a month",Please be informed that the personal data you provided by way of your job application to *OneLink HR Consultancy Pte Ltd*. Work Location- Ang mo Kio....
Data Scientist,NA,NA,Data scientist with hands on expertise in building and executing analytics modules on various technology platforms including big data technology platforms....
Lead Research Officer,Singapore Institute of Technology,NA,"Collation, organization and management of institutional data relating to learning outcomes. The successful applicant will lead a team of research assistants in..."
Production Assistant,CEI Contract Manufacturing Limited,NA,Basic computer knowledge to perform data entry. Packing of finished products into carton boxes or polypropylene boxes and strapping....
Process Engineer,Jacobs,NA,"Activities shall include Process simulation, preparation of Process deliverables like Design Basis, Process Flow Diagrams, Material Selection Diagrams, Heat &..."
Field Application Specialist,Vela Diagnostics,NA,Bioinformatics experience with analyzing NGS data is a plus. Utilize data collected from customers to improve the quality and cost of products through a...
Assistant Technician/Technician,Temasek Life Sciences Laboratory Limited,NA,Collection of operation data from fish system and optimisation of water flow dynamics. No....
Service Engineer,Siemens AG,NA,"Contributes to or conducts the maintenance and improvement of internal tools, equipment, processes, and data repositories. What are my job responsibilities?..."
"Data Center Segment - Business Development Director, APAC",EATON,NA,Experience in Data Center industry. Strong data mining and analysis skills. Establish Eaton as a leader in the data center industry community....
Senior Infra Project Manager (Data Centre Migration),NA,NA,"Data Center Migrations & Consolidations which includes scope planning, financials/budget, timelines, managing Network Infrastructure procurement, delivery, rack..."
Executive (Industry Development Division 2) (1 Year Temporar...,SkillsFuture Singapore,NA,Able to handle and manage data and information. Monthly collation of data from at least 20 providers for reporting purposes....
Financial Analyst,FIS,NA,"Track VSOE data for recurring and services fees. Support the sales, presales and PS teams from a data management and analysis perspective (SFDC, sales reporting..."
Application Support Engineer,Nano Equipment Pte Ltd,NA,We provide custom software development services. The Application Support Engineer will provide application support for server applications and mobile apps...
"Director of Strategic Insights, Analytics, Demand Planning",Electronic Arts,NA,"Recommend improvements to existing data structure and forecast methodologies. Working knowledge of SQL with experience writing queries for large, complex data..."
Part Time Information Technology Administrator,Castlery,NA,"As an e-commerce tech startup, we move decisively on insightful data and leverage on technological solutions to supercharge our operations...."
"ADMIN ASSISTANT (East, Club environment), above $2K",RI Talent Solutions Pte Ltd,NA,"Prepares reports or provides necessary data for Manager's preparation of reports. Deliver secretarial and admin support to Manager, which includes:...."
Repair Development Engineer,NA,NA,Experience on Strain gage optimization and data reduction. Understand the legacy data and replicate the analytical approach followed....
ETL Developer / Database Developer,Emporio Analytics,NA,"Audit and QA data and processes to ensure data quality and integrity throughout the data ecosystem. Support in the Design, architecture, implementation and..."
Learning and Development Advisor,NA,NA,"In addition, you have strong expertise in MS Office and an understanding of data analytics. O Support the execution of learning evaluation strategy and..."
Data Scientist,Accenture,NA,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise..."
Technical Customer Support Engineer,Solace Corporation,NA,"Solace technology enables open data movement by routing information between applications, devices, and people across clouds using open APIs and protocols...."
"VP, Enterprise Development",MasterCard,NA,"Recognizing the co-ordination challenge posed by the time-zone differences between Europe, the US and AP, MEP and the region aims to appoint a senior,..."
Data Analyst / Data Manager (APAC),Aspire SG,NA,"An almost professional presenter, with the ability to create content for both data and non data professionals. As the Data Champion you should have;..."
Consumer Networks - Senior Engineering Officer,Singtel,NA,Management of GIS data integrity. Coordinator for GIS and OSS issues and resolution....
Management Assistant Officer,National University of Singapore,NA,Meticulous and detail-oriented with high accuracy working on large volume of data. To provide support on the external language courses by the Centre for...
Food and Drink Trend Analyst,Mintel Group,NA,"Ability to think creatively when analyzing and presenting data. Ability to analyze multiple sets of data and write concise, insightful analysis...."
Project Planner,OneLink HR consultancy Pte Ltd,"$3,000 - $4,200 a month",Please be informed that the personal data you provided by way of your job application to *OneLink HR Consultancy Pte Ltd*. Work Location- Ang mo Kio....
Marketing Science Automation Specialist (Contract),POSSIBLE,NA,"Work across departments for data driven marketing projects. POSSIBLE Singapore is looking for a bright dynamic marketer who loves numbers, patterns and deriving..."
Production Assistant,CEI Contract Manufacturing Limited,NA,Basic computer knowledge to perform data entry. Packing of finished products into carton boxes or polypropylene boxes and strapping....
HSE & Quality Assurance Specialist,ABB,NA,Provide analysis of HSE data and report on progress on implementation of Sustainability Objectives and key performance indicators (KPI)....
Field Application Specialist,Vela Diagnostics,NA,Bioinformatics experience with analyzing NGS data is a plus. Utilize data collected from customers to improve the quality and cost of products through a...
Data Scientist,NA,NA,Data scientist with hands on expertise in building and executing analytics modules on various technology platforms including big data technology platforms....
Process Engineer,Wieland Metals Singapore,"$3,500 - $5,000 a month",Job Summary Be part of the organisation's Process Engineering Team and be involved in the below listed activities. Responsibilities and Duties (1)...
